name,mech,sharpe,years,n,pf,real,honest,note
V7 (deployed),positioning,2.1325251310592206,4.503764544832307,1769,3.1752758372742385,178.87498335950914,129.4209054102095,quarterly-selected blend
crowding (S119),positioning,1.321175237544288,5.645448323066393,310,1.9522917030166118,27.688160828587694,29.204185541087014,"equal-weight, selective"
trend (S117),price,0.6955548715166813,6.666666666666667,44,2.2653253690782,11.100093353783503,8.257920756820326,"vol-targeted, no stops"
buy & hold,none,0.7061305442990106,6.666666666666667,1,inf,6.9371469159136945,7.7950469875106565,"one position, never closed"
cascade (S120c),liquidity,-0.34009108949771477,6.666666666666667,395,0.8867949416887434,-1.9722387884667292,-2.2969925533229962,10bps slippage into a cascade
